position_id,position_name
1,Менеджер по продажам (Junior)
2,Менеджер по продажам (Middle)
3,Руководитель отдела продаж
4,Frontend Разработчик
5,Senior Backend Разработчик (Python)
6,Lead Java Developer
7,Системный администратор
8,DevOps Инженер
9,Специалист по информационной безопасности
10,QA Automation Engineer
11,Manual QA Engineer
12,IT Директор (CIO)
13,Продакт-менеджер
14,Проджект-менеджер
15,Рекрутер
16,HR Бизнес-партнер (HRBP)
17,Специалист по компенсациям и льготам
18,Бухгалтер по расчету ЗП
19,Главный бухгалтер
20,Финансовый аналитик
21,Data Scientist
22,BI Аналитик
23,Data Engineer
24,Специалист по контекстной рекламе
25,PR Менеджер
26,Директор по маркетингу (CMO)
27,Юрисконсульт
28,Старший юрист
29,Специалист службы поддержки
30,Руководитель смены (Support)
31,Логист
32,Офис-менеджер
33,Секретарь
